"","HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","Lat","Lon","NumValue"
"107","Measles","All cases","Age standardised rate","N/1000000",2010,"FR","France",45.6203343,-7.9821305,"74.687066350"
"108","Measles","All cases","Age standardised rate","N/1000000",2010,"HU","Hungary",47.130825,16.8652846,"0.000000000"
"109","Measles","All cases","Age standardised rate","N/1000000",2010,"IE","Ireland",53.2667296,-13.4969127,"68.729918630"
"110","Measles","All cases","Age standardised rate","N/1000000",2010,"IS","Iceland",64.7707364,-24.5196408,"0.000000000"
"111","Measles","All cases","Age standardised rate","N/1000000",2010,"IT","Italy",40.8030637,2.118703,"58.548481250"
"112","Measles","All cases","Age standardised rate","N/1000000",2010,"LT","Lithuania",55.1450555,21.2444669,"0.585670720"
"113","Measles","All cases","Age standardised rate","N/1000000",2010,"LU","Luxembourg",49.8134791,5.4739377,"0.000000000"
"114","Measles","All cases","Age standardised rate","N/1000000",2010,"LV","Latvia",56.8523539,21.9054152,"0.000000000"
"115","Measles","All cases","Age standardised rate","N/1000000",2010,"MT","Malta",35.935038,14.2135383,"0.000000000"
"116","Measles","All cases","Age standardised rate","N/1000000",2010,"NL","Netherlands",52.1835446,2.6402164,"0.923236700"
"117","Measles","All cases","Age standardised rate","N/1000000",2010,"NO","Norway",63.0622908,-2.8732225,"0.590512430"
"118","Measles","All cases","Age standardised rate","N/1000000",2010,"PL","Poland",51.8354408,13.8542533,"0.348194760"
"119","Measles","All cases","Age standardised rate","N/1000000",2010,"PT","Portugal",35.5226149,-29.4418798,"0.484351220"
"120","Measles","All cases","Age standardised rate","N/1000000",2010,"RO","Romania",45.8199508,19.7359343,"9.400942050"
"121","Measles","All cases","Age standardised rate","N/1000000",2010,"SE","Sweden",60.4293287,-3.2645052,"0.652154810"
"122","Measles","All cases","Age standardised rate","N/1000000",2010,"SI","Slovenia",46.1414895,13.6668529,"0.919099150"
"123","Measles","All cases","Age standardised rate","N/1000000",2010,"SK","Slovakia",48.6423179,17.0599442,"0.000000000"
"124","Measles","All cases","Age standardised rate","N/1000000",2010,"UK","United Kingdom",54.0895811,-15.0113976,"5.995411960"
"125","Measles","All cases","Age standardised rate","N/1000000",2011,"AT","Austria",47.6661908,10.7060663,"15.533233380"
"126","Measles","All cases","Age standardised rate","N/1000000",2011,"BE","Belgium",50.493573,3.1470018,"59.468491210"
"127","Measles","All cases","Age standardised rate","N/1000000",2011,"BG","Bulgaria",42.6950461,22.90301,"24.627364710"
"128","Measles","All cases","Age standardised rate","N/1000000",2011,"CY","Cyprus",35.1670131,32.7657497,"0.000000000"
"129","Measles","All cases","Age standardised rate","N/1000000",2011,"CZ","Czechia",49.7737786,12.8354699,"1.564197040"
"130","Measles","All cases","Age standardised rate","N/1000000",2011,"DE","Germany",51.0567272,5.1734704,"23.409201180"
"131","Measles","All cases","Age standardised rate","N/1000000",2011,"DK","Denmark",56.201989,8.9038344,"14.640017570"
"132","Measles","All cases","Age standardised rate","N/1000000",2011,"EE","Estonia",58.6436119,22.2937524,"5.241432990"
"133","Measles","All cases","Age standardised rate","N/1000000",2011,"EL","Greece",38.027144,19.0352981,"3.897310860"
"134","Measles","All cases","Age standardised rate","N/1000000",2011,"ES","Spain",35.3248265,-17.5870176,"76.986458340"
"135","Measles","All cases","Age standardised rate","N/1000000",2011,"EUEEA30_21","EU/EEA (without UK)",NA,NA,"70.546318000"
"136","Measles","All cases","Age standardised rate","N/1000000",2011,"EUEEAUK_21","EU/EEA (with UK until 2019)",NA,NA,"63.896072000"
"137","Measles","All cases","Age standardised rate","N/1000000",2011,"FI","Finland",64.4093773,15.3793338,"5.207703190"
"138","Measles","All cases","Age standardised rate","N/1000000",2011,"FR","France",45.6203343,-7.9821305,"224.067424680"
"139","Measles","All cases","Age standardised rate","N/1000000",2011,"HR","Croatia",44.4163476,13.7660704,"2.752577560"
"140","Measles","All cases","Age standardised rate","N/1000000",2011,"HU","Hungary",47.130825,16.8652846,"0.535794170"
"141","Measles","All cases","Age standardised rate","N/1000000",2011,"IE","Ireland",53.2667296,-13.4969127,"44.697927080"
"142","Measles","All cases","Age standardised rate","N/1000000",2011,"IS","Iceland",64.7707364,-24.5196408,"0.000000000"
"143","Measles","All cases","Age standardised rate","N/1000000",2011,"IT","Italy",40.8030637,2.118703,"94.242836430"
"144","Measles","All cases","Age standardised rate","N/1000000",2011,"LT","Lithuania",55.1450555,21.2444669,"2.418728260"
"145","Measles","All cases","Age standardised rate","N/1000000",2011,"LU","Luxembourg",49.8134791,5.4739377,"10.941025100"
"146","Measles","All cases","Age standardised rate","N/1000000",2011,"LV","Latvia",56.8523539,21.9054152,"0.454834380"
"147","Measles","All cases","Age standardised rate","N/1000000",2011,"MT","Malta",35.935038,14.2135383,"14.931690900"
