"url_bulletins","year","month","code_region","name_region","lat","lon","new_unclassified_cases","total_unclassified_cases","new_no_cases","total_no_cases","new_possible_cases","total_possible_cases","new_probable_cases","total_probable_cases","new_confirmed_cases","total_confirmed_cases","new_cases","total_cases","incidence"
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_40.pdf",2018,3,5,"Veneto",45.43490485,12.33845213,0,0,4,4,0,0,0,1,13,18,13,19,1.5
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_40.pdf",2018,3,6,"Friuli-Venezia Giulia",45.6494354,13.76813649,0,0,0,0,0,0,-1,1,2,5,1,6,2
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_40.pdf",2018,3,7,"Liguria",44.41149315,8.9326992,0,1,0,2,0,4,0,0,4,13,4,17,4.3
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_40.pdf",2018,3,8,"Emilia-Romagna",44.49436681,11.3417208,0,0,1,4,0,0,0,0,4,10,4,10,0.9
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_40.pdf",2018,3,9,"Tuscany",43.76923077,11.25588885,0,0,2,4,1,3,0,0,5,23,6,26,2.8
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_40.pdf",2018,3,10,"Umbria",43.10675841,12.38824698,0,0,0,0,0,0,0,0,0,1,0,1,0.4
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_40.pdf",2018,3,11,"Marche",43.61675973,13.5188753,0,0,1,1,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_40.pdf",2018,3,12,"Lazio",41.89277044,12.48366722,2,7,4,11,1,14,3,9,27,116,31,139,9.4
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_40.pdf",2018,3,13,"Abruzzo",42.35122196,13.39843823,0,0,0,0,0,0,0,0,1,3,1,3,0.9
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_40.pdf",2018,3,14,"Molise",41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_40.pdf",2018,3,15,"Campania",40.83956555,14.25084984,0,0,2,2,7,14,2,3,28,33,37,50,3.4
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_40.pdf",2018,3,16,"Apulia",41.12559576,16.86736689,0,0,0,1,0,1,0,0,5,6,5,7,0.7
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_40.pdf",2018,3,17,"Basilicata",40.63947052,15.80514834,0,0,0,0,0,0,0,0,2,3,2,3,2.1
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_40.pdf",2018,3,18,"Calabria",38.90597598,16.59440194,0,0,0,0,19,21,1,1,12,46,32,68,13.8
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_40.pdf",2018,3,19,"Sicily",38.11569725,13.3623566999999,11,13,4,5,41,97,17,33,168,273,226,403,31.9
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_40.pdf",2018,3,20,"Sardinia",39.21531192,9.110616306,0,0,0,0,0,0,0,0,2,2,2,2,0.5
"https://github.com/fbranda/measles/blob/main/Italy/2016/bulletins/RM_News_2018_41.pdf",2018,4,1,"Piedmont",45.0732745,7.680687483,0,0,1,5,1,6,8,8,10,15,19,29,2
