"url_bulletins","year","month","code_region","name_region","lat","lon","new_unclassified_cases","total_unclassified_cases","new_no_cases","total_no_cases","new_possible_cases","total_possible_cases","new_probable_cases","total_probable_cases","new_confirmed_cases","total_confirmed_cases","new_cases","total_cases","Unit","incidence"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_04.pdf",2014,"3",3,"Lombardy",45.46679409,9.190347404,1,1,2,5,6,11,3,6,19,33,28,50,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_04.pdf",2014,"3",21,"AP Bolzano",46.49933453,11.35662422,0,0,0,0,0,0,2,2,0,0,2,2,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_04.pdf",2014,"3",22,"AP Trento",46.06893511,11.12123097,0,0,0,0,0,0,0,0,0,1,0,1,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_04.pdf",2014,"3",5,"Veneto",45.43490485,12.33845213,0,0,2,2,0,0,0,0,2,4,2,4,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_04.pdf",2014,"3",6,"Friuli-Venezia Giulia",45.6494354,13.76813649,0,0,0,0,0,0,0,0,0,1,0,1,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_04.pdf",2014,"3",7,"Liguria",44.41149315,8.9326992,0,0,1,4,17,40,7,50,23,57,47,147,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_04.pdf",2014,"3",8,"Emilia-Romagna",44.49436681,11.3417208,0,0,0,0,1,1,0,0,12,24,13,25,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_04.pdf",2014,"3",9,"Tuscany",43.76923077,11.25588885,0,0,0,1,2,2,1,1,0,12,3,15,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_04.pdf",2014,"3",10,"Umbria",43.10675841,12.38824698,0,0,0,0,0,0,1,1,0,0,1,1,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_04.pdf",2014,"3",11,"Marche",43.61675973,13.5188753,1,1,0,0,0,0,0,0,9,10,9,10,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_04.pdf",2014,"3",12,"Lazio",41.89277044,12.48366722,1,1,0,0,9,12,0,0,14,26,23,38,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_04.pdf",2014,"3",13,"Abruzzo",42.35122196,13.39843823,0,0,0,0,0,0,0,1,8,9,8,10,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_04.pdf",2014,"3",14,"Molise",41.55774754,14.65916051,0,0,0,0,0,1,0,0,0,0,0,1,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_04.pdf",2014,"3",15,"Campania",40.83956555,14.25084984,0,0,0,0,1,1,0,0,0,0,1,1,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_04.pdf",2014,"3",16,"Apulia",41.12559576,16.86736689,0,0,1,1,5,6,1,3,12,14,18,23,NA,NA
